trip_id,stop_sequence,stop_id,arrival_time,departure_time
L2_MonFri,0,1,00:00:00,00:00:00
L2_MonFri,1,3,00:01:00,00:01:00
L2_MonFri,2,4,00:02:00,00:02:00
L2_MonFri,3,5,00:03:00,00:03:00
L2_MonFri,4,6,00:04:00,00:04:00
L2_MonFri,5,7,00:05:00,00:05:00
L2_MonFri,6,8,00:06:00,00:06:00
L2_MonFri,7,9,00:07:00,00:07:00
L2_MonFri,8,10,00:07:00,00:07:00
L2_MonFri,9,11,00:09:00,00:09:00
L2_MonFri,10,12,00:12:00,00:12:00
L2_MonFri,11,13,00:12:00,00:12:00
L2_MonFri,12,14,00:15:00,00:15:00
L2_MonFri,13,15,00:16:00,00:16:00
L2_MonFri,14,17,00:19:00,00:19:00
L2_MonFri,15,18,00:21:00,00:21:00
L2_MonFri,16,19,00:24:00,00:24:00
L2_MonFri,17,20,00:26:00,00:26:00
L2_MonFri,18,21,00:27:00,00:27:00
L2_MonFri,19,22,00:28:00,00:28:00
L2_MonFri,20,23,00:29:00,00:29:00
L2_MonFri,21,24,00:30:00,00:30:00
L2_MonFri,22,25,00:30:00,00:30:00
L2_MonFri,23,26,00:32:00,00:32:00
L2_MonFri,24,27,00:32:00,00:32:00
L2_MonFri,25,28,00:33:00,00:33:00
L2_MonFri,26,29,00:34:00,00:34:00
L2_MonFri,27,30,00:35:00,00:35:00
L2_MonFri,28,31,00:36:00,00:36:00
L2_MonFri,29,32,00:37:00,00:37:00
L2_MonFri,30,33,00:38:00,00:38:00
L2_MonFri,31,178,00:39:00,00:39:00
L2_MonFri,32,37,00:42:00,00:42:00
L2_MonFri,33,133,00:43:00,00:43:00
L2_MonFri,34,175,00:43:00,00:43:00
L2_MonFri,35,36,00:44:00,00:44:00
L2_MonFri,36,35,00:45:00,00:45:00
L2_MonFri,37,39,00:46:00,00:46:00
L2_MonFri,38,41,00:49:00,00:49:00
L2_MonFri,39,40,00:50:00,00:50:00
L2_MonFri,40,44,00:50:00,00:50:00
L2_MonFri,41,45,00:50:00,00:50:00
L2_MonFri,42,38,00:52:00,00:52:00
L2_MonFri,43,169,00:53:00,00:53:00
L2_MonSat,0,1,00:00:00,00:00:00
L2_MonSat,1,3,00:01:00,00:01:00
L2_MonSat,2,4,00:02:00,00:02:00
L2_MonSat,3,5,00:03:00,00:03:00
L2_MonSat,4,6,00:04:00,00:04:00
L2_MonSat,5,7,00:05:00,00:05:00
L2_MonSat,6,8,00:06:00,00:06:00
L2_MonSat,7,9,00:07:00,00:07:00
L2_MonSat,8,10,00:07:00,00:07:00
L2_MonSat,9,11,00:09:00,00:09:00
L2_MonSat,10,12,00:12:00,00:12:00
L2_MonSat,11,13,00:12:00,00:12:00
