stop_id,stop_name,stop_lat,stop_lon
182,Clarke,39.33556,-82.11262
180,W State St,39.333335,-82.111763
179,Andover Rd,39.296824,-82.113443
178,Richland/West Green Southbound,39.323376,-82.104478
177,Factory St/Union,39.329385,-82.108437
176,Central Food Parking Lot,39.326812,-82.109746
175,"Ridges, child development Center",39.31926,-82.111097
174,Congress & W State,39.331144,-82.102482
173,Broney & Masonic Lodge,39.332339,-82.101506
172,W State & Court,39.330851,-82.100913
171,Washington/Court,39.329335,-82.101049
170,President/Court,39.326523,-82.101324
169,Mulberry/Baker,39.325468,-82.101978
168,Mulberry/Main Hub,39.325368,-82.101963
167,Ohio Health Center,39.464649,-82.250648
166,Mary Hill Health Center,39.463173,-82.243162
165,West Washington/Canal,39.46165,-82.240891
164,West Washington/Nelsonville Library,39.461003,-82.233847
163,Nelsonville Square,39.460474,-82.232111
162,Rocky Boot Way,39.458765,-82.232094
161,Burger King/E Canal St,39.443402,-82.211735
160,Hocking College,39.442886,-82.222272
159,Suds Monkey,39.24341,-82.186613
158,Alexander Schools,39.241608,-82.186992
157,Ayers Road,39.235553,-82.190727
156,Reynolds/Blizzard Lane,39.232492,-82.194676
155,E Clinton/Reynolds,39.228838,-82.194933
154,McCoy/E Clinton St,39.226785,-82.197829
153,State Street/McCoy Ave,39.223943,-82.199031
152,Washington Rd/State St,39.22666,-82.204138
151,Close to Home,39.224387,-82.205994
150,Albany Old School,39.225937,-82.206033
149,Marathon Albany,39.235328,-82.195716
148,Lake Snowden,39.240364,-82.190512
147,United Lane/Fruth,39.290813,-82.127512
146,Park/University Terrace,39.324875,-82.099143
143,Morris & Grant,39.333153,-82.090005
142,S Green Drive - Ping Eastbound,39.322011,-82.098695
141,Richland South Y,39.304376,-82.103244
140,Methodist Church/Parking garage Temp,39.329177,-82.099704
139,University Courtyard,39.315142,-82.102246
138,Alumni Gateway,39.327439,-82.100315
134,Gordy Hall,39.324886,-82.099274
133,Ridges - Mail Room,39.319471,-82.109971
132,Shafer & Moore Ave,39.329061,-82.110771
131,Central Food Building Westbound,39.32692,-82.110738
128,West Green Drive - Stocker Center,39.325679,-82.107536
127,Shafer/ West Green Drive eastbound,39.326812,-82.11106
125,Fairgrounds,39.330148,-82.114134
