trip_id,arrival_time,departure_time,stop_id,stop_sequence
374,06:20:00,06:20:00,Athens_CommCtr,0
374,06:35:00,06:35:00,Athens_OU,1
374,06:50:00,06:50:00,Nelsonville,2
374,07:05:00,07:05:00,Logan,3
374,07:40:00,07:40:00,Lancaster,4
374,08:05:00,08:05:00,Columbus_COTA,5
374,08:20:00,08:20:00,Columbus_Airport,6
376,11:20:00,11:20:00,Parkersburg,0
376,11:45:00,11:45:00,Coolville,1
376,12:10:00,12:10:00,Athens_CommCtr,2
376,12:25:00,12:25:00,Athens_OU,3
376,12:40:00,12:40:00,Nelsonville,4
376,12:55:00,12:55:00,Logan,5
376,13:30:00,13:30:00,Lancaster,6
376,14:05:00,14:05:00,Columbus_COTA,7
376,14:20:00,14:20:00,Columbus_OSU,8
376,14:35:00,14:35:00,Columbus_Airport,9
378,17:40:00,17:40:00,Athens_OU,0
378,17:55:00,17:55:00,Athens_CommCtr,1
378,18:15:00,18:15:00,Nelsonville,2
378,18:30:00,18:30:00,Logan,3
378,19:10:00,19:10:00,Lancaster,4
378,19:45:00,19:45:00,Columbus_COTA,5
378,20:00:00,20:00:00,Columbus_OSU,6
378,20:15:00,20:15:00,Columbus_Airport,7
377,06:50:00,06:50:00,Columbus_COTA,0
377,07:10:00,07:10:00,Columbus_Airport,1
377,07:45:00,07:45:00,Lancaster,2
377,08:20:00,08:20:00,Logan,3
377,08:35:00,08:35:00,Nelsonville,4
377,09:05:00,09:05:00,Athens_OU,5
377,09:20:00,09:20:00,Athens_CommCtr,6
377,10:15:00,10:15:00,Coolville,7
377,10:50:00,10:50:00,Marietta,8
377,11:10:00,11:10:00,Parkersburg,9
379,09:30:00,09:30:00,Columbus_Airport,0
379,09:45:00,09:45:00,Columbus_COTA,1
379,10:20:00,10:20:00,Lancaster,2
379,11:00:00,11:00:00,Logan,3
379,11:15:00,11:15:00,Nelsonville,4
379,11:30:00,11:30:00,Athens_CommCtr,5
379,11:45:00,11:45:00,Athens_OU,6
381,14:45:00,14:45:00,Columbus_Airport,0
381,15:00:00,15:00:00,Columbus_OSU,1
381,15:25:00,15:25:00,Columbus_COTA,2
381,16:15:00,16:15:00,Lancaster,3
381,16:50:00,16:50:00,Logan,4
381,17:05:00,17:05:00,Nelsonville,5
381,17:40:00,17:40:00,Athens_OU,6
381,17:55:00,17:55:00,Athens_CommCtr,7
56,05:40:00,05:40:00,Arlington_Heights,0
56,05:55:00,05:55:00,Cincinnati,1
56,06:30:00,06:30:00,Batavia,2
56,07:15:00,07:15:00,Seaman,3
56,07:25:00,07:25:00,Peebles,4
56,07:55:00,07:55:00,Piketon,5
56,08:25:00,08:25:00,Jackson,6
56,09:00:00,09:00:00,Albany,7
56,09:15:00,09:15:00,Athens_CommCtr,8
56,09:25:00,09:25:00,Athens_OU,9
58,13:50:00,13:50:00,Arlington_Heights,0
58,14:05:00,14:05:00,Cincinnati,1
58,14:40:00,14:40:00,Batavia,2
58,15:30:00,15:30:00,Seaman,3
58,15:40:00,15:40:00,Peebles,4
58,16:10:00,16:10:00,Piketon,5
58,16:40:00,16:40:00,Jackson,6
58,17:15:00,17:15:00,Albany,7
58,17:30:00,17:30:00,Athens_CommCtr,8
58,17:40:00,17:40:00,Athens_OU,9
57,09:15:00,09:15:00,Athens_CommCtr,0
